	text	screen_name	location
0	it only the crisis pregnancy center that be in the business of lie to woman abortion be healthcare	AtheistEngineer	Ohio, USA
1	if this law be not block by September abortion access in Texas will come to an abrupt stop say the senior counsel for the Center for Reproductive Rights abortion Texas WomensHealth Heartbeat ReproductiveRights	SAcurrent	San Antonio, TX
2	so if demand all pregnant applicant have an abortion will that also be acceptable both vaccination and abortion be medical procedure	jeffreymullen	Henderson, NV
3	I got push so hard I feel I have no choice abortiontestimonial abortion womentellall	AbortionReviews	San Diego, CA
4	so if demand all pregnant applicant have an abortion both vaccine and abortion be medical procedure	jeffreymullen	Henderson, NV
5	how do other country fight against the grave human right issue of abortion I most excited to hear the Global Perspectives on abortion panel at the RehumanizeConference Register at M	KristaCorbello	Los Angeles, CA
6	the Texas abortion ban which allow anyone to sue anyone who help or intend to help a woman end a pregnancy after six week be design to harass the few remain clinic out of existence Texas abortion	CarolineMCorbin	Coral Gables, FL
7	Democrat Candidate want Paid Medical Leave after kill a Baby in an abortion abortion	MassCentralNew1	Winter Have Fl
8	the estimate between and million baby abort per year imagine if people take that as seriously as they have Covid if we force vaxxine mandate maybe we should force sterilization for anyone couple that have have more than one abortion slipperyslope	DonCapriccioso	Last Incarnation
9	think Texas abortion law do matter here in texan seek abortion care who have the financial mean most of they white woman will travel to state like potentially create access challenge here it all connect mapoli	jessemermell	Brookline, MA
10	welcome back to the fucking Middle Ages Abortion	neongrab	Wien, Österreich
11	that T for Texas T for tyranny abortion americantaliban	atomicdog4	Here
12	the issue about abortion in the US be of a similar sort as opposer claim that abortion be kill life while they be the same people who be also against facemask amp vaccine kill life by forbid child to save life of adult	GLOSM4	Netherlands
13	there be still time to sign up to become a sponsor at our annual Golf outing take place on September click here for more detail crisispregnancy womenshealth pregnancyoption unplannedpregnancy naturalfamilyplanne abortion	ABabysBreath	Pennsylvania, USA
14	the legislation prohibit abortion after a fetal heartbeat can be detect which can be as early as week before many people know they be pregnant and allow member of the general public to sue doctor other they believe violate the law it happen reproright	Becca_Rausch	Norfolk, Bristol and Middlesex
15	hmm what exactly kind of future be it no ClimateAction plan no competitive Canada abortion position no effective health amp safety commitment re vaccination policy not much of a future choose forwardforeveryone	SusanRadojevic	Canada
16	Texas abortion mask when it come to mask in Texas woman have the right to make a choice but south of the border it be an entirely different matter	josephescalia	LI, NY
21	one of the Top Bad day of history continue Abortion woman ProChoice not promote dark fiction it be real news from TEXAS REWARD stalk pregnant woman who might be think about an abortion could pay	EndAllSuffering	Devils Wharf, Connecticut USA
23	reach out abortiontestimonial abortion womentellall	AbortionReviews	San Diego, CA
24	over twenty abortion provider attempt to block the Texas law from take effect file an emergency motion to the appeal court and ask they to issue a temporary stay or send it back to a low court the appeal court deny the request Sunday	DottieFincham	My Heart Is Always In Texas
25	I do know who need to hear this Consent to Sex be consent to Pregnancy JustSayNo abortionjustice abortion prolife prochoice reprodutiverìght abortionismurder	Solo_Knight66	America
26	four day ahead of the six week abortion ban go into effect in Texas on Wednesday have be suspend from Instagram provide information on how to access amp safely use the pill not the pill themselves	Dhammikax	London
27	Australia lead national abortion provider close four clinic this month cite financial pressure say would now focus on expand its telehealth medical abortion offering	Dhammikax	London
